ORDER_ID,FLAG_ROUND_TRIP,COST
1,0,299.02
2,1,109.77
3,0,120.25
6,1,39.81
10,1,9.86
11,1,233.86
12,1,193.39
13,1,324.01
15,1,19.16
18,1,13.12
19,1,36.79
21,0,40.25
27,1,92.82
28,1,230.94
37,1,108.13
38,1,237.78
39,1,119.21
41,1,94.23
42,1,126.16
43,1,74.39
45,1,48.54
47,1,271.04
48,0,95.37
49,1,253.04
50,1,3.07
51,1,67.21
53,1,72.84
54,1,322.35
56,1,9.97
57,1,95.35
58,0,69.13
59,1,57.82
60,1,70.03
63,1,159.50
66,1,331.09
67,1,13.76
70,1,180.21
71,1,86.51
74,1,11.10
79,1,84.95
81,1,71.34
83,1,12.05
84,0,157.31
87,0,272.45
90,1,19.70
93,0,222.59
99,1,91.80
100,1,95.72
102,1,266.55
103,1,43.59
104,1,10.52
105,1,171.71
106,1,77.56
108,1,174.27
111,1,23.76
112,1,200.28
116,1,44.74
117,1,131.13
118,1,328.52
120,1,21.79
121,1,2.86
122,1,100.77
123,1,44.65
127,1,104.37
129,1,186.45
133,1,80.20
134,1,169.85
135,1,196.59
136,1,146.27
140,1,134.12
141,1,27.68
144,1,139.05
147,1,151.72
148,1,72.60
149,1,54.07
151,1,184.47
152,0,197.22
155,1,123.17
159,1,74.97
161,1,227.84
164,1,61.66
166,1,64.05
168,1,238.44
169,1,232.66
170,1,99.35
171,1,117.71
172,1,30.34
175,1,116.45
180,1,228.86
181,1,37.48
186,1,54.38
187,1,201.70
188,0,108.58
190,1,26.72
196,1,194.60
198,1,115.27
200,1,143.40
201,1,210.76
202,1,118.15
207,0,34.43
213,1,23.67
215,1,75.62
216,1,90.88
217,1,86.29
218,1,78.54
220,1,13.70
221,1,14.53
222,0,210.38
226,1,47.21
227,1,48.74
231,1,103.93
233,0,288.88
234,1,26.56
237,1,192.18
239,1,193.09
241,0,324.08
244,1,115.52
247,1,38.63
248,1,122.50
254,1,156.50
255,0,150.73
256,1,142.29
257,1,77.03
260,1,39.11
262,1,100.26
263,1,68.37
264,1,85.77
265,1,118.54
266,1,21.42
267,1,7.43
268,1,12.57
269,1,82.12
270,1,99.89
272,0,302.02
273,1,196.40
274,1,15.04
276,1,84.40
280,1,314.60
281,1,10.45
283,1,245.67
284,1,88.03
286,0,236.34
287,1,50.14
288,1,116.88
291,1,195.67
292,1,24.40
293,0,224.13
294,1,18.27
295,0,13.65
296,0,40.20
298,1,94.56
299,1,174.45
301,1,34.22
302,1,293.11
303,1,29.84
304,1,318.85
307,1,156.01
308,1,12.31
311,1,207.51
313,1,332.62
314,1,201.88
315,1,31.96
318,1,41.24
319,1,41.08
321,0,150.10
322,1,94.48
328,1,140.39
330,1,214.73
331,1,78.24
332,1,98.14
333,1,1.82
337,1,98.45
339,1,135.39
340,1,18.69
341,1,273.60
342,1,79.61
343,0,70.95
346,1,66.55
347,1,88.37
349,1,159.60
351,1,64.45
352,1,135.29
353,1,192.11
355,1,63.16
356,1,133.49
357,1,31.85
359,1,236.87
363,1,119.58
364,1,320.76
367,1,172.92
369,1,104.52
370,1,324.28
372,1,74.19
375,1,147.42
376,1,2.03
377,1,23.35
380,1,156.23
383,1,22.74
385,1,196.27
388,0,218.45
389,0,210.72
394,1,332.95
396,0,280.84
402,0,260.40
403,1,35.50
404,1,95.38
405,1,4.52
406,1,140.37
408,0,57.80
411,0,85.97
413,1,101.28
414,1,177.69
417,1,19.91
418,0,262.73
422,1,158.02
423,1,119.11
424,1,286.22
426,1,84.74
428,0,174.38
432,1,70.07
435,1,135.30
444,1,148.14
447,1,135.05
449,1,25.89
451,1,95.92
452,1,134.04
456,0,175.42
460,0,46.68
463,1,45.73
464,1,282.31
465,1,114.84
466,1,162.89
467,1,164.31
468,1,50.02
469,1,170.92
470,1,103.16
471,1,19.07
474,1,162.98
475,1,14.26
476,1,38.95
479,1,28.92
480,1,72.31
481,1,7.10
483,1,289.28
484,1,40.04
486,1,44.49
488,1,12.60
492,1,272.19
494,1,225.77
495,1,8.43
497,1,165.62
498,1,103.04
500,1,168.07
501,1,123.67
503,1,122.00
504,1,34.29
506,1,114.33
507,1,35.28
509,0,268.54
512,0,243.42
513,1,145.39
516,1,128.04
517,1,77.60
518,1,272.20
519,1,328.80
521,1,13.15
525,1,17.79
526,1,165.19
534,1,81.43
536,1,58.81
537,1,143.39
542,1,148.03
544,1,86.92
545,0,117.19
548,1,39.68
549,0,48.15
555,1,96.34
556,1,73.13
557,1,112.60
558,1,4.98
559,1,14.22
560,1,107.29
565,1,27.77
566,1,33.01
567,1,75.22
569,1,38.35
570,1,272.54
571,1,38.90
572,1,142.32
573,1,41.78
574,1,291.72
575,1,287.13
576,1,73.02
577,1,121.72
581,1,193.88
583,1,9.70
585,1,37.73
586,1,129.27
591,1,85.43
592,1,227.98
593,1,83.45
598,1,30.68
599,1,94.49
600,0,325.28
603,1,38.49
604,1,24.19
609,1,15.43
610,1,148.00
619,1,32.05
620,1,188.28
626,1,102.58
629,1,10.36
632,1,37.12
633,1,83.70
641,1,88.01
643,1,20.06
644,1,211.68
647,1,127.81
649,1,64.91
650,1,251.63
652,1,110.06
656,1,13.36
657,1,67.88
660,1,220.15
661,1,58.80
662,1,36.72
664,1,315.03
665,1,107.63
666,1,129.61
674,1,21.37
677,1,247.65
678,1,111.99
679,1,176.75
680,0,218.15
686,1,55.30
688,1,258.91
689,1,248.32
690,1,18.01
691,1,322.29
693,1,282.02
697,1,41.35
698,1,26.98
701,0,37.16
705,0,244.15
707,0,206.31
708,1,18.19
709,1,62.98
710,1,30.24
712,1,50.12
715,1,96.83
716,1,60.31
717,1,53.16
718,1,49.11
719,1,60.55
720,0,25.67
725,1,164.27
727,1,70.55
731,1,3.67
733,1,58.94
734,1,231.51
735,1,198.01
737,1,78.76
740,1,17.59
742,1,58.88
744,1,200.37
747,0,120.96
750,1,55.17
751,1,260.84
756,1,141.54
757,1,43.58
759,1,2.68
760,1,23.59
762,1,80.56
763,1,274.91
764,1,98.77
771,1,158.76
772,1,18.45
774,0,317.97
777,1,94.02
778,1,48.14
780,1,203.49
782,0,92.64
784,1,70.76
788,1,85.40
789,1,66.18
791,1,92.41
792,0,128.95
793,1,162.55
794,1,86.89
799,1,24.47
800,1,33.15
801,1,111.84
804,1,107.30
805,0,22.11
807,0,144.63
808,1,51.98
811,1,47.41
812,1,68.74
816,1,47.49
817,1,143.98
818,1,74.03
822,1,200.72
824,1,120.97
827,1,215.09
829,1,35.45
831,0,325.81
832,1,114.15
833,1,87.79
835,1,148.11
837,1,198.28
838,1,16.51
841,1,300.90
843,1,256.97
845,1,2.43
852,1,13.31
853,1,65.59
855,0,148.15
856,0,219.04
860,1,110.88
862,1,139.55
867,0,92.82
868,1,83.94
869,1,316.39
870,1,306.88
871,1,30.20
872,1,172.63
875,1,70.09
879,1,57.73
881,1,126.57
882,1,101.83
883,1,65.83
884,1,98.04
886,1,92.91
888,1,83.24
892,1,31.01
894,1,146.96
895,1,47.18
896,1,26.13
897,1,239.15
898,1,180.40
901,1,96.35
902,1,22.12
903,1,79.73
904,1,58.02
906,0,262.35
908,1,153.29
911,1,50.02
913,0,298.60
914,1,120.35
915,1,95.98
916,1,120.01
919,1,57.07
920,1,115.75
922,1,284.62
923,1,70.68
924,0,125.88
925,0,295.96
927,1,188.91
928,1,114.94
929,1,203.85
931,1,4.36
932,1,50.38
933,0,99.91
935,1,246.48
936,1,126.18
937,1,22.85
938,1,175.37
941,1,121.83
943,1,81.57
944,1,252.81
945,1,33.21
946,1,49.11
947,1,120.02
949,1,74.61
950,1,240.96
951,1,97.76
952,1,80.72
956,1,1.54
957,1,259.62
958,1,335.07
960,1,18.00
961,1,41.68
963,1,22.49
964,0,47.11
965,1,101.71
967,1,43.34
971,0,199.27
974,0,267.04
975,1,55.11
976,1,60.39
977,0,212.05
980,1,43.32
983,1,139.40
986,1,131.90
995,1,209.57
996,1,120.42
997,1,148.59
999,0,210.35
1000,1,58.97